Employee #,Last Name,First Name,Date,Time-in,Time-out,"Hours 
Worked",Month,Week,
10007,Farala,Martha,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10008,Martinez,Leila,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10009,San Jose,Allison ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10010,Rosario,Cydney ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10011,Lopez,Josie ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10012,De Leon,Selena ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10013,Romualdez,Fredrick ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10014,Bautista,Mark ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10015,Lazaro,Darlene ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10016,Delos Santos,Kolby ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10017,Santos,Vella ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10018,Del Rosario,Tomas,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10019,Tolentino,Jacklyn ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10020,Gutierrez,Percival ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10021,Manalaysay,Garfield ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10022,Villegas,Lizeth ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10023,Ramos,Carol ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10024,Maceda,Emelia ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10025,Aguilar,Delia ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10001,Crisostomo,Jose,09-May-22,08:00:00,17:00:00,8,May,10-Jan-22,2
10002,Mata,Christian,09-May-22,08:00:00,17:00:00,8,May,10-Jan-22,2
10003,San Jose,Brad ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10004,Salcedo,Anthony,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10005,Romualdez,Alice,09-May-22,08:15:00,17:00:00,7.75,May,09-May-22,2
10006,Atienza,Rosie ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10007,Farala,Martha,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10008,Martinez,Leila,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10009,San Jose,Allison ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10010,Rosario,Cydney ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10011,Lopez,Josie ,09-May-22,10:30:00,17:00:00,5.5,May,09-May-22,2
10012,De Leon,Selena ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10013,Romualdez,Fredrick ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10014,Bautista,Mark ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10015,Lazaro,Darlene ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10016,Delos Santos,Kolby ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10017,Santos,Vella ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10018,Del Rosario,Tomas,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10019,Tolentino,Jacklyn ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10020,Gutierrez,Percival ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10021,Manalaysay,Garfield ,09-May-22,13:00:00,17:00:00,3,May,09-May-22,2
10022,Villegas,Lizeth ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10023,Ramos,Carol ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10024,Maceda,Emelia ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10025,Aguilar,Delia ,09-May-22,08:00:00,17:00:00,8,May,09-May-22,2
10001,Crisostomo,Jose,09-Jun-22,08:00:00,17:00:00,8,Jun,07-Feb-22,1
10002,Mata,Christian,09-Jun-22,08:00:00,17:00:00,8,Jun,07-Feb-22,1
10003,San Jose,Brad ,09-Jun-22,11:30:00,17:00:00,4.5,Jun,06-Jun-22,1
10004,Salcedo,Anthony,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10005,Romualdez,Alice,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10006,Atienza,Rosie ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10007,Farala,Martha,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10008,Martinez,Leila,09-Jun-22,08:10:00,17:00:00,7.83,Jun,06-Jun-22,1
10009,San Jose,Allison ,09-Jun-22,00:00:00,00:00:00,fixed,Jun,06-Jun-22,1
10010,Rosario,Cydney ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10011,Lopez,Josie ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10012,De Leon,Selena ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10013,Romualdez,Fredrick ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10014,Bautista,Mark ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10015,Lazaro,Darlene ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10016,Delos Santos,Kolby ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10017,Santos,Vella ,09-Jun-22,08:05:00,17:00:00,7.92,Jun,06-Jun-22,1
10018,Del Rosario,Tomas,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10019,Tolentino,Jacklyn ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10020,Gutierrez,Percival ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10021,Manalaysay,Garfield ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10022,Villegas,Lizeth ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10023,Ramos,Carol ,09-Jun-22,09:00:00,17:00:00,7,Jun,06-Jun-22,1
10024,Maceda,Emelia ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10025,Aguilar,Delia ,09-Jun-22,08:00:00,17:00:00,8,Jun,06-Jun-22,1
10001,Crisostomo,Jose,09-Jul-22,08:00:00,17:00:00,8,Jul,07-Feb-22,1
10002,Mata,Christian,09-Jul-22,08:00:00,17:00:00,8,Jul,07-Feb-22,1
10003,San Jose,Brad ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10004,Salcedo,Anthony,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10005,Romualdez,Alice,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10006,Atienza,Rosie ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10007,Farala,Martha,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10008,Martinez,Leila,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10009,San Jose,Allison ,09-Jul-22,00:00:00,00:00:00,fixed,Jul,04-Jul-22,1
10010,Rosario,Cydney ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10011,Lopez,Josie ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10012,De Leon,Selena ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10013,Romualdez,Fredrick ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10014,Bautista,Mark ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10015,Lazaro,Darlene ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10016,Delos Santos,Kolby ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10017,Santos,Vella ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10018,Del Rosario,Tomas,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10019,Tolentino,Jacklyn ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10020,Gutierrez,Percival ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10021,Manalaysay,Garfield ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10022,Villegas,Lizeth ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10023,Ramos,Carol ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10024,Maceda,Emelia ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10025,Aguilar,Delia ,09-Jul-22,08:00:00,17:00:00,8,Jul,04-Jul-22,1
10001,Crisostomo,Jose,09-Aug-22,08:00:00,17:00:00,8,Aug,07-Feb-22,2
10002,Mata,Christian,09-Aug-22,08:00:00,17:00:00,8,Aug,07-Feb-22,2
10003,San Jose,Brad ,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10004,Salcedo,Anthony,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10005,Romualdez,Alice,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10006,Atienza,Rosie ,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10007,Farala,Martha,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10008,Martinez,Leila,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10009,San Jose,Allison ,09-Aug-22,00:00:00,00:00:00,fixed,Aug,08-Aug-22,2
10010,Rosario,Cydney ,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10011,Lopez,Josie ,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10012,De Leon,Selena ,09-Aug-22,08:00:00,17:00:00,8,Aug,08-Aug-22,2
10013,Romualdez,Fredrick ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10014,Bautista,Mark ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10015,Lazaro,Darlene ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10016,Delos Santos,Kolby ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10017,Santos,Vella ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10018,Del Rosario,Tomas,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10019,Tolentino,Jacklyn ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10020,Gutierrez,Percival ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10021,Manalaysay,Garfield ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10022,Villegas,Lizeth ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10023,Ramos,Carol ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10024,Maceda,Emelia ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10025,Aguilar,Delia ,09-Aug-22,10:00:00,17:00:00,6,Aug,08-Aug-22,2
10001,Crisostomo,Jose,09-Sep-22,08:00:00,17:00:00,8,Sep,07-Mar-22,1
10002,Mata,Christian,09-Sep-22,08:00:00,17:00:00,8,Sep,07-Mar-22,1
10003,San Jose,Brad ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10004,Salcedo,Anthony,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10005,Romualdez,Alice,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10006,Atienza,Rosie ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10007,Farala,Martha,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10008,Martinez,Leila,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10009,San Jose,Allison ,09-Sep-22,00:00:00,00:00:00,fixed,Sep,05-Sep-22,1
10010,Rosario,Cydney ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10011,Lopez,Josie ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10012,De Leon,Selena ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10013,Romualdez,Fredrick ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10014,Bautista,Mark ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10015,Lazaro,Darlene ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10016,Delos Santos,Kolby ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10017,Santos,Vella ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10018,Del Rosario,Tomas,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10019,Tolentino,Jacklyn ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10020,Gutierrez,Percival ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10021,Manalaysay,Garfield ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10022,Villegas,Lizeth ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10023,Ramos,Carol ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10024,Maceda,Emelia ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10025,Aguilar,Delia ,09-Sep-22,08:00:00,17:00:00,8,Sep,05-Sep-22,1
10001,Crisostomo,Jose,09-Dec-22,08:00:00,17:00:00,8,Dec,07-Mar-22,1
10002,Mata,Christian,09-Dec-22,08:00:00,17:00:00,8,Dec,07-Mar-22,1
10003,San Jose,Brad ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10004,Salcedo,Anthony,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10005,Romualdez,Alice,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10006,Atienza,Rosie ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10007,Farala,Martha,09-Dec-22,08:27:00,17:00:00,7.55,Dec,05-Dec-22,1
10008,Martinez,Leila,09-Dec-22,08:01:00,17:00:00,7.98,Dec,05-Dec-22,1
10009,San Jose,Allison ,09-Dec-22,00:00:00,00:00:00,fixed,Dec,05-Dec-22,1
10010,Rosario,Cydney ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10011,Lopez,Josie ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10012,De Leon,Selena ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10013,Romualdez,Fredrick ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10014,Bautista,Mark ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10015,Lazaro,Darlene ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10016,Delos Santos,Kolby ,09-Dec-22,08:28:00,17:00:00,7.53,Dec,05-Dec-22,1
10017,Santos,Vella ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10018,Del Rosario,Tomas,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10019,Tolentino,Jacklyn ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10020,Gutierrez,Percival ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10021,Manalaysay,Garfield ,09-Dec-22,08:11:00,17:00:00,7.82,Dec,05-Dec-22,1
10022,Villegas,Lizeth ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10023,Ramos,Carol ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10024,Maceda,Emelia ,09-Dec-22,08:21:00,17:00:00,7.65,Dec,05-Dec-22,1
10025,Aguilar,Delia ,09-Dec-22,08:00:00,17:00:00,8,Dec,05-Dec-22,1
10001,Crisostomo,Jose,13-Sep-22,08:00:00,17:00:00,8,Sep,04-Apr-22,2
10002,Mata,Christian,13-Sep-22,08:00:00,17:00:00,8,Sep,04-Apr-22,2
10003,San Jose,Brad ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10004,Salcedo,Anthony,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10005,Romualdez,Alice,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10006,Atienza,Rosie ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10007,Farala,Martha,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10008,Martinez,Leila,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10009,San Jose,Allison ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10010,Rosario,Cydney ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10011,Lopez,Josie ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10012,De Leon,Selena ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10013,Romualdez,Fredrick ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10014,Bautista,Mark ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10015,Lazaro,Darlene ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10016,Delos Santos,Kolby ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10017,Santos,Vella ,13-Sep-22,00:00:00,00:00:00,fixed,Sep,12-Sep-22,2
10018,Del Rosario,Tomas,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10019,Tolentino,Jacklyn ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10020,Gutierrez,Percival ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10021,Manalaysay,Garfield ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10022,Villegas,Lizeth ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10023,Ramos,Carol ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10024,Maceda,Emelia ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10025,Aguilar,Delia ,13-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10001,Crisostomo,Jose,14-Sep-22,08:00:00,17:00:00,8,Sep,11-Apr-22,2
10002,Mata,Christian,14-Sep-22,08:00:00,17:00:00,8,Sep,11-Apr-22,2
10003,San Jose,Brad ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10004,Salcedo,Anthony,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10005,Romualdez,Alice,14-Sep-22,08:15:00,17:00:00,7.75,Sep,12-Sep-22,2
10006,Atienza,Rosie ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10007,Farala,Martha,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10008,Martinez,Leila,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10009,San Jose,Allison ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10010,Rosario,Cydney ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10011,Lopez,Josie ,14-Sep-22,10:30:00,17:00:00,5.5,Sep,12-Sep-22,2
10012,De Leon,Selena ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10013,Romualdez,Fredrick ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10014,Bautista,Mark ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10015,Lazaro,Darlene ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10016,Delos Santos,Kolby ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10017,Santos,Vella ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10018,Del Rosario,Tomas,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10019,Tolentino,Jacklyn ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10020,Gutierrez,Percival ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10021,Manalaysay,Garfield ,14-Sep-22,13:00:00,17:00:00,3,Sep,12-Sep-22,2
10022,Villegas,Lizeth ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10023,Ramos,Carol ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10024,Maceda,Emelia ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10025,Aguilar,Delia ,14-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10001,Crisostomo,Jose,15-Sep-22,08:00:00,17:00:00,8,Sep,09-May-22,2
10002,Mata,Christian,15-Sep-22,08:00:00,17:00:00,8,Sep,09-May-22,2
10003,San Jose,Brad ,15-Sep-22,11:30:00,17:00:00,4.5,Sep,12-Sep-22,2
10004,Salcedo,Anthony,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10005,Romualdez,Alice,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10006,Atienza,Rosie ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10007,Farala,Martha,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10008,Martinez,Leila,15-Sep-22,08:10:00,17:00:00,7.83,Sep,12-Sep-22,2
10009,San Jose,Allison ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10010,Rosario,Cydney ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10011,Lopez,Josie ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10012,De Leon,Selena ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10013,Romualdez,Fredrick ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10014,Bautista,Mark ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10015,Lazaro,Darlene ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10016,Delos Santos,Kolby ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10017,Santos,Vella ,15-Sep-22,08:05:00,17:00:00,7.92,Sep,12-Sep-22,2
10018,Del Rosario,Tomas,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10019,Tolentino,Jacklyn ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10020,Gutierrez,Percival ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10021,Manalaysay,Garfield ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10022,Villegas,Lizeth ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10023,Ramos,Carol ,15-Sep-22,09:00:00,17:00:00,7,Sep,12-Sep-22,2
10024,Maceda,Emelia ,15-Sep-22,00:00:00,00:00:00,fixed,Sep,12-Sep-22,2
10025,Aguilar,Delia ,15-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10001,Crisostomo,Jose,16-Sep-22,08:00:00,17:00:00,8,Sep,09-May-22,2
10002,Mata,Christian,16-Sep-22,08:00:00,17:00:00,8,Sep,09-May-22,2
10003,San Jose,Brad ,16-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10004,Salcedo,Anthony,16-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10005,Romualdez,Alice,16-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
10006,Atienza,Rosie ,16-Sep-22,08:00:00,17:00:00,8,Sep,12-Sep-22,2
